年號,起訖時間,使用年數,備註
魏孝靜帝元善見（在位：534年－550年）,魏孝靜帝元善見（在位：534年－550年）,魏孝靜帝元善見（在位：534年－550年）,魏孝靜帝元善見（在位：534年－550年）
天平,534年十月－537年,4年,
元象,538年正月－539年十一月,2年,
興和,539年十一月－542年,4年,
武定,543年－550年五月,8年,
