年號,起訖時間,使用年數,備註
可黎可足贊普（在位：817年－838年）,可黎可足贊普（在位：817年－838年）,可黎可足贊普（在位：817年－838年）,可黎可足贊普（在位：817年－838年）
彝泰,815年－838年,24年,吐蕃唯一可考年號。
