年號,起訖時間,使用年數,備註
漢高祖劉龑（在位：917年－942年）,漢高祖劉龑（在位：917年－942年）,漢高祖劉龑（在位：917年－942年）,漢高祖劉龑（在位：917年－942年）
乾亨,917年七月－925年十一月,9年,
白龍,925年十二月－928年二月,4年,
大有,928年三月－942年三月,15年,
漢殤帝劉玢（在位：942年－943年）,漢殤帝劉玢（在位：942年－943年）,漢殤帝劉玢（在位：942年－943年）,漢殤帝劉玢（在位：942年－943年）
光天,942年四月－943年二月,2年,
漢中宗劉晟（在位：943年－958年）,漢中宗劉晟（在位：943年－958年）,漢中宗劉晟（在位：943年－958年）,漢中宗劉晟（在位：943年－958年）
應乾,943年三月－十月,1年,
乾和,943年十一月－958年七月,16年,
漢後主劉鋹（在位：958年－971年）,漢後主劉鋹（在位：958年－971年）,漢後主劉鋹（在位：958年－971年）,漢後主劉鋹（在位：958年－971年）
大寶,958年八月－971年二月,14年,
