年號,起訖時間,使用年數,備註
武曌（在位：683年－705年）,武曌（在位：683年－705年）,武曌（在位：683年－705年）,武曌（在位：683年－705年）
天授,690年九月－692年三月,3年,"用子正，正月即夏曆十一月，臘月即夏曆十二月，為子正一年第二個月。
天授元年九月改國號為周。"
如意,692年四月－九月,6個月,用子正。
長壽,692年九月－694年五月,3年,用子正。
延載,694年五月－十月,6個月,用子正。
証聖,695年正月－九月,11個月,用子正。
天冊萬歲,695年九月－696年臘月,2年,用子正。
萬歲登封,696年臘月－696年三月,4個月,用子正。
萬歲通天,696年三月－697年九月,2年,用子正。
神功,697年九月－閏十月,3個月,用子正。
聖曆,698年－700年五月,3年,用子正。
久視,700年五月－701年正月,2年,久視元年十月復寅正。
大足,701年正月－十月,10個月,
長安,701年十月－704年,4年,
神龍,705年－707年九月,3年,神龍元年二月中宗復國號唐。
