年號,起訖時間,使用年數,備註
拓跋什翼犍（在位：338年－376年）,拓跋什翼犍（在位：338年－376年）,拓跋什翼犍（在位：338年－376年）,拓跋什翼犍（在位：338年－376年）
建國,338年十一月－376年,39年,
