年號,起訖時間,君主,使用時間,備註
元始,26年,竇融,1年,居延漢簡有「漢元始廿六年」字樣，是東漢初竇融在河西行用漢平帝元始年號。
？？,144年十一月－145年三月,馬勉,2年,《後漢書》及《通鑑》記載建立年號，名稱不明。
神上,？,張曼成,？,見於李兆洛《紀元編》。
？？,180年代末－214年十月,宋建,30餘年,《三國志》及《通鑑》記載建立年號，名稱不明。
