年號,起訖時間,使用年數,備註
吳烈祖楊渥（在位：907年－908年）,吳烈祖楊渥（在位：907年－908年）,吳烈祖楊渥（在位：907年－908年）,吳烈祖楊渥（在位：907年－908年）
天祐,907年－908年四月,2年,用唐朝天祐年號（四年－五年）。
吳高祖楊隆演（在位：908年－920年）,吳高祖楊隆演（在位：908年－920年）,吳高祖楊隆演（在位：908年－920年）,吳高祖楊隆演（在位：908年－920年）
天祐,908年五月－919年,12年,用唐朝天祐年號（五年－十六年）。
武義,919年四月－921年正月,3年,"或作頒義。
武義二年（921年）五月楊溥即位沿用。"
吳睿帝楊溥（在位：920年－937年）,吳睿帝楊溥（在位：920年－937年）,吳睿帝楊溥（在位：920年－937年）,吳睿帝楊溥（在位：920年－937年）
順義,921年二月－927年十月,7年,
乾貞,927年十一月－929年十月,3年,荊南用此年號。
大和,929年十一月－935年八月,7年,
天祚,935年九月－937年十月,3年,
