年號,起訖時間,使用年數,備註
秦武昭帝姚萇（在位：384年－394年）,秦武昭帝姚萇（在位：384年－394年）,秦武昭帝姚萇（在位：384年－394年）,秦武昭帝姚萇（在位：384年－394年）
白雀,384年四月－386年四月,3年,
建初,386年五月－394年四月,9年,
秦文桓帝姚興（在位：394年－416年）,秦文桓帝姚興（在位：394年－416年）,秦文桓帝姚興（在位：394年－416年）,秦文桓帝姚興（在位：394年－416年）
皇初,394年五月－399年九月,6年,
弘始,399年九月－416年正月,18年,或作洪始。黃大華《歷代帝王年表》作弘治。
秦後主姚泓（在位：416年－417年）,秦後主姚泓（在位：416年－417年）,秦後主姚泓（在位：416年－417年）,秦後主姚泓（在位：416年－417年）
永和,416年二月－417年八月,2年,
