年號,起訖時間,使用年數,備註
漢高祖劉知遠（在位：947年－948年）,漢高祖劉知遠（在位：947年－948年）,漢高祖劉知遠（在位：947年－948年）,漢高祖劉知遠（在位：947年－948年）
天福,947年二月－十二月,1年,"沿用後晉天福年號（十二年）。
吳越、荊南、楚用此年號。"
乾祐,948年－950年,3年,"乾祐元年（948年）二月漢隱帝劉承祐即位沿用。
吳越、荊南、楚、北漢用此年號。"
