年號,起訖時間,使用年數,備註
梁宣帝蕭詧（在位：555年－562年）,梁宣帝蕭詧（在位：555年－562年）,梁宣帝蕭詧（在位：555年－562年）,梁宣帝蕭詧（在位：555年－562年）
大定,555年－562年正月,8年,
梁明帝蕭巋（在位：562年－585年）,梁明帝蕭巋（在位：562年－585年）,梁明帝蕭巋（在位：562年－585年）,梁明帝蕭巋（在位：562年－585年）
天保,562年二月－585年,24年,天保二十四年（585年）五月梁後主即位沿用。
梁後主蕭琮（在位：585年－587年）,梁後主蕭琮（在位：585年－587年）,梁後主蕭琮（在位：585年－587年）,梁後主蕭琮（在位：585年－587年）
廣運,586年－587年九月,2年,
