年號,起訖時間,使用年數,備注
遼宣宗耶律淳（在位：1122年）,遼宣宗耶律淳（在位：1122年）,遼宣宗耶律淳（在位：1122年）,遼宣宗耶律淳（在位：1122年）
建福,1122年三月－六月,1年,或作天福。
遼德妃蕭普賢女（在位：1122年）,遼德妃蕭普賢女（在位：1122年）,遼德妃蕭普賢女（在位：1122年）,遼德妃蕭普賢女（在位：1122年）
德興,1122年六月－十二月,1年,
