年號,起訖時間,使用年數,備註
高升泰（在位：1094年－1095年）,高升泰（在位：1094年－1095年）,高升泰（在位：1094年－1095年）,高升泰（在位：1094年－1095年）
上治,1094年－1095年,2年,
