年號,起訖時間,使用年數,備注
永康,？,？,見《永康七年銘金銅佛光背》銘文「永康七年歲[次]□□」（缺字毀損難辨，疑是「甲□」或「辛未」）。
□熙,？,？,見李昊榮《中原高句麗碑題額的新讀》所引銘文「□熙七年歲辛□□」。
