年號,起訖時間,使用年數,備註
周太祖郭威（在位：951年－954年）,周太祖郭威（在位：951年－954年）,周太祖郭威（在位：951年－954年）,周太祖郭威（在位：951年－954年）
廣順,951年－953年,3年,吳越、荊南用此年號。
顯德,954年－960年正月,7年,"顯德元年（954年）正月周世宗柴榮即位沿用；顯德六年（959年）六月周恭帝柴宗訓即位沿用。
南唐、荊南、吳越用此年號。"
