年號,起訖時間,使用年數,備註
更始帝劉玄（在位：23年－25年）,更始帝劉玄（在位：23年－25年）,更始帝劉玄（在位：23年－25年）,更始帝劉玄（在位：23年－25年）
更始,23年二月－25年九月,3年,《越絕書·吳地傳》署年到六年（28年）。
