年號,起訖時間,使用年數,備註
夏武烈帝赫連勃勃（在位：407年－425年）,夏武烈帝赫連勃勃（在位：407年－425年）,夏武烈帝赫連勃勃（在位：407年－425年）,夏武烈帝赫連勃勃（在位：407年－425年）
龍昇,407年六月－413年二月,7年,
鳳翔,413年三月－418年十月,6年,
昌武,418年十一月－419年正月,3個月,
真興,419年二月－425年七月,7年,
夏廢主赫連昌（在位：425年－428年）,夏廢主赫連昌（在位：425年－428年）,夏廢主赫連昌（在位：425年－428年）,夏廢主赫連昌（在位：425年－428年）
承光,425年八月－428年二月,4年,或作承陽、永光。
夏後主赫連定（在位：428年－431年）,夏後主赫連定（在位：428年－431年）,夏後主赫連定（在位：428年－431年）,夏後主赫連定（在位：428年－431年）
勝光,428年二月－431年六月,4年,
