年號,起訖時間,君主,使用時間,備註
建康,319年四月－320年五月,司馬保,2年,
鳳凰,370年八月－九月,李金銀、李弘,2個月,《晉書·廢帝紀》作九月反；《資治通鑑》作八月反，九月平。
永始,403年十二月－404年五月,桓玄,2年,《晉書·五行志》記載初作建始。
天康,404年－405年二月,桓謙,2年,或作天安。
