年號,起訖時間,使用年數,備註
晉高祖石敬瑭（在位：936年－942年）,晉高祖石敬瑭（在位：936年－942年）,晉高祖石敬瑭（在位：936年－942年）,晉高祖石敬瑭（在位：936年－942年）
天福,936年十一月－944年六月,9年,"絳州白雲洞外刻有佛經，末注「晉天符五年」，疑是「天福」 之誤。
天福七年（942年）六月晉出帝即位沿用。
吳越、楚、荊南用此年號。"
晉出帝石重貴（在位：942年－946年）,晉出帝石重貴（在位：942年－946年）,晉出帝石重貴（在位：942年－946年）,晉出帝石重貴（在位：942年－946年）
開運,944年七月－946年,3年,吳越、楚、荊南用此年號。
