年號,起訖時間,使用年數,備註
延平武王鄭成功（在位：1655年－1662年）,延平武王鄭成功（在位：1655年－1662年）,延平武王鄭成功（在位：1655年－1662年）,延平武王鄭成功（在位：1655年－1662年）
永曆,1648年－1662年五月,15年,"用南明永曆年號（二年－十六年）。
為台灣地區使用年號之始。"
延平文王鄭經（在位：1662年－1681年）,延平文王鄭經（在位：1662年－1681年）,延平文王鄭經（在位：1662年－1681年）,延平文王鄭經（在位：1662年－1681年）
永曆,1662年五月－1681年正月,20年,用南明永曆年號（十六年－三十五年）。
鄭克塽（在位：1681年－1683年）,鄭克塽（在位：1681年－1683年）,鄭克塽（在位：1681年－1683年）,鄭克塽（在位：1681年－1683年）
永曆,1681年二月－1683年八月,3年,用南明永曆年號（三十五年－三十七年）。
