年號,起訖時間,君主,使用時間,備註
石平,577年十一月,劉沒鐸,1個月,
天統,？,？,？,《杜公墓誌》有「周天統二年」字樣，北周無此年號。
政通,？,？,？,北朝後期的《黃丙午墓記磚》有「政通三年三月」字樣，不知何代紀元。
