年號,起訖時間,使用年數,備註
燕惠懿帝高雲（在位：407年－409年）,燕惠懿帝高雲（在位：407年－409年）,燕惠懿帝高雲（在位：407年－409年）,燕惠懿帝高雲（在位：407年－409年）
正始,407年七月－409年十月,3年,
燕文成帝馮跋（在位：409年－430年）,燕文成帝馮跋（在位：409年－430年）,燕文成帝馮跋（在位：409年－430年）,燕文成帝馮跋（在位：409年－430年）
太平,409年十月－430年,22年,太平二十二年（430年）九月馮弘即位沿用。
燕昭成帝馮弘（在位：430年－436年）,燕昭成帝馮弘（在位：430年－436年）,燕昭成帝馮弘（在位：430年－436年）,燕昭成帝馮弘（在位：430年－436年）
太興,431年－436年五月,6年,
