年號,起訖時間,使用年數,備註
漢昭烈帝劉備（在位：221年－223年）,漢昭烈帝劉備（在位：221年－223年）,漢昭烈帝劉備（在位：221年－223年）,漢昭烈帝劉備（在位：221年－223年）
章武,221年四月－223年四月,3年,
漢後主劉禪（在位：223年－263年）,漢後主劉禪（在位：223年－263年）,漢後主劉禪（在位：223年－263年）,漢後主劉禪（在位：223年－263年）
建興,223年五月－237年,15年,
延熙,238年－257年,20年,
景耀,258年－263年七月,6年,
炎興,263年八月－十一月,1年,
