年號,起訖時間,使用年數,備註
燕獻武帝慕容德（在位：398年－405年）,燕獻武帝慕容德（在位：398年－405年）,燕獻武帝慕容德（在位：398年－405年）,燕獻武帝慕容德（在位：398年－405年）
燕平,？,？,諸書只言慕容德依燕元故事例，稱元年。該年號只見於《紀元編》，從晉隆安二年（398年）改元，歷2年，所據不詳。
建平,400年八月－405年十一月,6年,《南燕錄》記載八月改元，《通鑑》繫於年末。
燕末主慕容超（在位：405年－410年）,燕末主慕容超（在位：405年－410年）,燕末主慕容超（在位：405年－410年）,燕末主慕容超（在位：405年－410年）
太上,405年十一月－410年二月,6年,《南燕錄》記十一月改元，《通鑑》作九月。
