年號,起訖時間,使用年數,備註
武威武王禿髮烏孤（在位：397年－399年）,武威武王禿髮烏孤（在位：397年－399年）,武威武王禿髮烏孤（在位：397年－399年）,武威武王禿髮烏孤（在位：397年－399年）
太初,397年－399年,3年,
河西康王禿髮利鹿孤（在位：399年－402年）,河西康王禿髮利鹿孤（在位：399年－402年）,河西康王禿髮利鹿孤（在位：399年－402年）,河西康王禿髮利鹿孤（在位：399年－402年）
建和,400年－402年三月,3年,
涼景王禿髮傉檀（在位：402年－414年）,涼景王禿髮傉檀（在位：402年－414年）,涼景王禿髮傉檀（在位：402年－414年）,涼景王禿髮傉檀（在位：402年－414年）
弘昌,402年三月－404年二月,3年,或作宏昌。
嘉平,408年十一月－414年七月,7年,404年二月去年號。408年十一月復稱涼王。
