年號,起訖時間,使用年數,備註
趙善政（在位：928年－929年）,趙善政（在位：928年－929年）,趙善政（在位：928年－929年）,趙善政（在位：928年－929年）
尊聖,928年－929年,2年,《滇載記》作興源，《雲南志略》作應天。
