年號,起訖時間,使用年數,備註
唐莊宗李存勖（在位：908年－926年）,唐莊宗李存勖（在位：908年－926年）,唐莊宗李存勖（在位：908年－926年）,唐莊宗李存勖（在位：908年－926年）
同光,923年四月－926年四月,4年,閩、荊南用此年號。
唐明宗李嗣源（在位：926年－933年）,唐明宗李嗣源（在位：926年－933年）,唐明宗李嗣源（在位：926年－933年）,唐明宗李嗣源（在位：926年－933年）
天成,926年四月－930年二月,5年,楚、閩、荊南用此年號。
長興,930年二月－934年正月,5年,"長興四年（933年）十二月唐閔帝即位沿用。
楚、閩、荊南、後蜀用此年號。
河東節度使石敬瑭於清泰三年（936年）五月起兵後復用該年號直至十月。"
唐閔帝李從厚（在位：933年－934年）,唐閔帝李從厚（在位：933年－934年）,唐閔帝李從厚（在位：933年－934年）,唐閔帝李從厚（在位：933年－934年）
應順,934年正月－四月,1年,吳越、楚、荊南用此年號。
唐末帝李從珂（在位：934年－936年）,唐末帝李從珂（在位：934年－936年）,唐末帝李從珂（在位：934年－936年）,唐末帝李從珂（在位：934年－936年）
清泰,934年四月－936年閏十一月,3年,吳越、楚、荊南用此年號。
