年號,起訖時間,使用年數,備註
努爾哈赤（在位：1616年－1626年）,努爾哈赤（在位：1616年－1626年）,努爾哈赤（在位：1616年－1626年）,努爾哈赤（在位：1616年－1626年）
天命,1616年－1626年,11年,"天命十一年（1626年）九月清太宗即位沿用。
蔡美彪認為後金只使用汗號紀年，實際並無年號。"
皇太極（在位：1626年－1643年）,皇太極（在位：1626年－1643年）,皇太極（在位：1626年－1643年）,皇太極（在位：1626年－1643年）
天聰,1627年－1636年三月,10年,蔡美彪認為後金只使用汗號紀年，實際並無年號。
