年號,起訖時間,使用年數,備註
蜀高祖王建（在位：907年－918年）,蜀高祖王建（在位：907年－918年）,蜀高祖王建（在位：907年－918年）,蜀高祖王建（在位：907年－918年）
天復,907年九月－十二月,1年,用唐朝天復年號（七年）。
武成,908年－910年,3年,
永平,911年－915年,5年,
通正,916年,1年,
天漢,917年,1年,
光天,918年,1年,"或作光大、廣大。
光天元年（918年）六月王衍即位沿用。"
蜀後主王衍（在位：918年－925年）,蜀後主王衍（在位：918年－925年）,蜀後主王衍（在位：918年－925年）,蜀後主王衍（在位：918年－925年）
乾德,919年－924年,6年,
咸康,925年正月－十一月,1年,
