年號,起訖時間,君主,使用時間,備註
建光,388年二月－391年十月,翟遼,4年,
定鼎,391年十月－392年六月,翟釗,2年,亦作神鼎。
建始,397年五月－七月,慕容詳,3個月,
延平,397年七月－十月,慕容麟,3個月,"或作建平。
陶棟《歷代建元考》誤將慕容盛建平年號為慕容麟年號。"
青龍,398年四月－七月,蘭汗,4個月,
