年號,起訖時間,君主,使用時間,備註
上願,535年,鮮于琛,1年,
永漢,542年正月－二月,劉敬躬,2個月,
天德,544年正月－548年三月,李賁,5年,越南前李朝，又作大德。
正平,548年十一月－549年六月,蕭正德,2年,
太始,551年十一月－552年三月,侯景,2年,國號漢。
天正,552年四月－553年七月,蕭紀,2年,
天啟,558年三月－560年二月,蕭莊,3年,
