年號,起訖時間,使用年數,備註
楊干貞（在位：929年－937年）,楊干貞（在位：929年－937年）,楊干貞（在位：929年－937年）,楊干貞（在位：929年－937年）
興聖,929年－930年,2年,或作先聖、光聖。
大明,931年－937年,7年,
鼎新,？,？,
光聖,？,？,或作克聖。
建國,？,？,見於《雲南志略》。
皇興,？,？,見於《紀元韻覽》。
