年號,起訖時間,君主,使用時間,備註
復漢,23年七月－十二月,隗囂,1年,"《後漢書·隗囂傳》作漢復，居延漢簡作復漢，萬斯同《歷代紀元彙考》作朔寧。
舊作使用十二年，但據居延漢簡記述的紀年，復漢只有1年。"
龍興,25年四月－36年十一月,公孫述,12年,
建世,25年六月－27年閏正月,劉盆子,3年,一作建始。
