年號,起訖時間,使用年數,備註
魏文帝元寶炬（在位：535年－551年）,魏文帝元寶炬（在位：535年－551年）,魏文帝元寶炬（在位：535年－551年）,魏文帝元寶炬（在位：535年－551年）
大統,535年－551年,17年,
魏廢帝元欽（在位：551年－554年）,魏廢帝元欽（在位：551年－554年）,魏廢帝元欽（在位：551年－554年）,魏廢帝元欽（在位：551年－554年）
乾明,？,？,段長基《歷代統紀表》卷七認為西魏君主元欽有乾明元年及二年，但是其他諸書均無記載，都稱元欽沒有年號。
