年號,起訖時間,使用年數,備註
王莽（在位：9年－23年）,王莽（在位：9年－23年）,王莽（在位：9年－23年）,王莽（在位：9年－23年）
始建國,9年－13年,5年,用丑正。或作建國。
天鳳,14年－19年,6年,用丑正。也作「始建國天鳳上戊」、「始建國天鳳」。
地皇,20年－23年九月,4年,用丑正。也作「始建國地皇上戊」、「始建國地皇」。
