年號,起訖時間,使用年數,備註
遼梁王耶律雅里（在位：1123年）,遼梁王耶律雅里（在位：1123年）,遼梁王耶律雅里（在位：1123年）,遼梁王耶律雅里（在位：1123年）
神曆,1123年五月－十月,1年,
