年號,起訖時間,君主,使用時間,備註
天復,907年－922年,李茂貞,16年,用唐朝天復年號（七年－二十二年）。
天祐,922年－924年,李茂貞,3年,用唐朝天祐年號（十九年－二十一年）。
天復,907年－909年,張承奉,3年,用唐朝天復年號（七年－九年）。
應天,911年八月－913年十一月,劉守光,3年,
