年號,起訖時間,使用年數,備註
魏武悼天王冉閔（在位：350年－352年）,魏武悼天王冉閔（在位：350年－352年）,魏武悼天王冉閔（在位：350年－352年）,魏武悼天王冉閔（在位：350年－352年）
永興,350年閏二月－352年四月,3年,
