年號,起訖時間,使用年數,備註
元昭宗愛猷識理達臘（在位：1370年－1378年）,元昭宗愛猷識理達臘（在位：1370年－1378年）,元昭宗愛猷識理達臘（在位：1370年－1378年）,元昭宗愛猷識理達臘（在位：1370年－1378年）
宣光,1371年－1378年,8年,宣光八年（1378年）四月元後主即位沿用。
元後主脫古思帖木兒（在位：1378年－1388年）,元後主脫古思帖木兒（在位：1378年－1388年）,元後主脫古思帖木兒（在位：1378年－1388年）,元後主脫古思帖木兒（在位：1378年－1388年）
天元,1379年－1388年十月,10年,
