年號,起訖時間,使用年數,備註
漢世祖劉旻（在位：951年－954年）,漢世祖劉旻（在位：951年－954年）,漢世祖劉旻（在位：951年－954年）,漢世祖劉旻（在位：951年－954年）
乾祐,951年－954年十月,4年,用後漢乾祐年號（四年－七年）。
漢睿宗劉鈞（在位：954年－968年）,漢睿宗劉鈞（在位：954年－968年）,漢睿宗劉鈞（在位：954年－968年）,漢睿宗劉鈞（在位：954年－968年）
乾祐,954年十一月－956年,3年,用後漢乾祐年號（七年－九年）。
天會,957年－973年,17年,天會十二年（968年）七月劉繼恩沿用；九月劉繼元沿用。
漢英武帝劉繼元（在位：968年－979年）,漢英武帝劉繼元（在位：968年－979年）,漢英武帝劉繼元（在位：968年－979年）,漢英武帝劉繼元（在位：968年－979年）
廣運,974年－979年五月,6年,
