年號,起訖時間,使用年數,備註
蜀高祖孟知祥（在位：934年）,蜀高祖孟知祥（在位：934年）,蜀高祖孟知祥（在位：934年）,蜀高祖孟知祥（在位：934年）
長興,934年閏正月－四月,1年,用後唐長興年號（五年）。
明德,934年四月－937年,4年,明德元年（934年）七月孟昶即位沿用。
蜀後主孟昶（在位：934年－965年）,蜀後主孟昶（在位：934年－965年）,蜀後主孟昶（在位：934年－965年）,蜀後主孟昶（在位：934年－965年）
廣政,938年－965年正月,28年,
