年號,起訖時間,使用年數,備註
涼武昭王李暠（在位：400年－417年）,涼武昭王李暠（在位：400年－417年）,涼武昭王李暠（在位：400年－417年）,涼武昭王李暠（在位：400年－417年）
庚子,400年十一月－404年,5年,
建初,405年－417年二月,13年,
涼後主李歆（在位：417年－420年）,涼後主李歆（在位：417年－420年）,涼後主李歆（在位：417年－420年）,涼後主李歆（在位：417年－420年）
嘉興,417年二月－420年七月,4年,
涼冠軍侯李恂（在位：420年－421年）,涼冠軍侯李恂（在位：420年－421年）,涼冠軍侯李恂（在位：420年－421年）,涼冠軍侯李恂（在位：420年－421年）
永建,420年十月－421年三月,2年,
